,name,appid
0, Fieldrunners 2,1
1,! That Bastard Is Trying To Steal Our Gold !,1
2,!AnyWay!,1
3,!LABrpgUP!,1
4,"""BUTTS: The VR Experience""",1
5,"""Glow Ball"" - The billiard puzzle game",1
6,"""TWO DRAW""",1
7,#Archery,1
8,#CuteSnake,1
9,#CuteSnake 2,1
10,#Have A Sticker,1
11,#KILLALLZOMBIES,1
12,#SelfieTennis,1
13,#WarGames,1
14,#monstercakes,1
15,$1 Ride,1
16,'1st Core: The Zombie Killing Cyborg',1
17,'90s Football Stars,1
18,'n Verlore Verstand,1
19,(VR)西汉帝陵 The Han Dynasty Imperial Mausoleums,1
20,***,1
21,- Arcane Raise -,1
22,-KLAUS-,1
23,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,1
24,.hack//G.U. Last Recode,1
25,.projekt,1
26,//N.P.P.D. RUSH//- The milk of Ultraviolet,1
27,//SNOWFLAKE TATTOO//,1
28,0 Day,1
29,001 Game Creator,1
30,03.04,1
31,0RBITALIS,1
32,0°N 0°W,1
33,1 HIT KILL,1
34,1 Moment Of Time: Silentville,1
35,1 Screen Platformer,1
36,1 vs 1 : Global Operations,1
37,"1,000 Heads Among the Trees",1
38,1-2-Swift,1
39,1-Bit Revival: The Residuals of Null,1
40,10 Minute Tower,1
41,10 Second Ninja,1
42,10 Second Ninja X,1
43,10 Years After,1
44,10 seconds,1
45,"10,000,000",1
46,10-4 Indirect Contact,1
47,100 Chests,1
48,100 Seconds,1
49,100$,1
50,100% Orange Juice,1
51,1000 Amps,1
52,1000 Stages,1
53,1001 Jigsaw. Home Sweet Home,1
54,1001 Jigsaw. World Tour: Great America,1
55,1001 Spikes,1
56,1001st Hyper Tower,1
57,100ft Robot Golf,1
58,100nya,1
59,101 Ways to Die,1
60,1010,1
61,103,1
62,10k,1
63,11-11 Memories Retold,1
64,1166,1
65,12 HOURS,1
66,12 Labours of Hercules,1
67,12 Labours of Hercules II: The Cretan Bull,1
68,12 Labours of Hercules III: Girl Power,1
69,12 Labours of Hercules IV: Mother Nature (Platinum Edition),1
70,12 Labours of Hercules V: Kids of Hellas (Platinum Edition),1
71,12 Labours of Hercules VI: Race for Olympus (Platinum Edition),1
72,12 Labours of Hercules VII: Fleecing the Fleece (Platinum Edition),1
73,12 Labours of Hercules VIII: How I Met Megara,1
74,12 is Better Than 6,1
75,12 orbits,1
76,123 Slaughter Me Street,1
77,123 Slaughter Me Street 2,1
78,1248,1
79,13 Cycles,1
80,140,1
81,1406,1
82,15 Days,1
83,15 Defense,1
84,15 seconds,1
85,"150,000 B.C.",1
86,16bit Trader,1
87,1775: Rebellion,1
88,18 Floors,1
89,18 Wheels of Steel: Across America,1
90,18 Wheels of Steel: American Long Haul,1
91,18 Wheels of Steel: Convoy,1
