,game_link
0,https://store.steampowered.com/app/364470/The_Elder_Scrolls_Legends/?snr=1_7_7_151_150_1
1,https://store.steampowered.com/app/404090/Fallout_4_Season_Pass/?snr=1_7_7_151_150_1
2,https://store.steampowered.com/bundle/1245/More_Spore/?snr=1_7_7_151_150_1
3,https://store.steampowered.com/app/1751220/_/?snr=1_7_7_151_150_1
4,https://store.steampowered.com/bundle/233/Left_4_Dead_Bundle/?snr=1_7_7_151_150_1
5,https://store.steampowered.com/app/907370/Mirror_The_Lost_Shards/?snr=1_7_7_151_150_1
6,https://store.steampowered.com/app/513440/Path_of_War/?snr=1_7_7_151_150_1
7,https://store.steampowered.com/app/1084970/Bridge_Builder_Racer/?snr=1_7_7_151_150_1
8,https://store.steampowered.com/bundle/233/Left_4_Dead_Bundle/?snr=1_7_7_151_150_1
9,https://store.steampowered.com/app/253530/Fortress_Forever/?snr=1_7_7_151_150_1
10,https://store.steampowered.com/app/8140/Tomb_Raider_Underworld/?snr=1_7_7_151_150_1
11,https://store.steampowered.com/app/237990/The_Banner_Saga/?snr=1_7_7_151_150_1
12,https://store.steampowered.com/app/1751220/_/?snr=1_7_7_151_150_1
13,https://store.steampowered.com/bundle/22390/Age_of_Empires_Anthology/?snr=1_7_7_151_150_1
14,https://store.steampowered.com/app/8980/Borderlands_Game_of_the_Year/?snr=1_7_7_151_150_1
15,https://store.steampowered.com/bundle/10143/SEGA_Mega_Drive_and_Genesis_Classics/?snr=1_7_7_151_150_1
16,https://store.steampowered.com/bundle/5702/Grand_Theft_Auto_V_Premium_Edition__Megalodon_Shark_Card_Bundle/?snr=1_7_7_151_150_1
17,https://store.steampowered.com/app/627690/Idle_Champions_of_the_Forgotten_Realms/?snr=1_7_7_151_150_1
18,https://store.steampowered.com/app/453690/Dark_Quest_2/?snr=1_7_7_151_150_1
19,https://store.steampowered.com/app/214930/BioShock_Infinite_Clash_in_the_Clouds/?snr=1_7_7_151_150_1
20,https://store.steampowered.com/bundle/9846/PC_Caf_Essentials_F2P/?snr=1_7_7_151_150_1
21,https://store.steampowered.com/bundle/12958/Facepunch_Complete_Bundle/?snr=1_7_7_151_150_1
22,https://store.steampowered.com/bundle/15181/The_Cold_War_Bundle/?snr=1_7_7_151_150_1
23,https://store.steampowered.com/bundle/20336/Control_Ultimate_Edition__Alan_Wake_Franchise_Bundle/?snr=1_7_7_151_150_1
24,https://store.steampowered.com/app/214932/BioShock_Infinite_Burial_at_Sea__Episode_Two/?snr=1_7_7_151_150_1
25,https://store.steampowered.com/app/1552620/Expedition_Agartha/?snr=1_7_7_151_150_1
26,https://store.steampowered.com/bundle/1077/Hitman_Collection/?snr=1_7_7_151_150_1
27,https://store.steampowered.com/bundle/22390/Age_of_Empires_Anthology/?snr=1_7_7_151_150_1
28,https://store.steampowered.com/bundle/7889/Banner_Saga_Trilogy__Stoic_Edition/?snr=1_7_7_151_150_1
29,https://store.steampowered.com/bundle/15347/Elder_Scrolls_Summer_Bundle/?snr=1_7_7_151_150_1
30,https://store.steampowered.com/bundle/15347/Elder_Scrolls_Summer_Bundle/?snr=1_7_7_151_150_1
31,https://store.steampowered.com/bundle/15347/Elder_Scrolls_Summer_Bundle/?snr=1_7_7_151_150_1
32,https://store.steampowered.com/bundle/13359/Street_Fighter_V__Champion_Edition_Upgrade_Kit/?snr=1_7_7_151_150_1
33,https://store.steampowered.com/app/319280/Yatagarasu_Attack_on_Cataclysm/?snr=1_7_7_151_150_1
34,https://store.steampowered.com/bundle/575/Sid_Meiers_Civilization_V_Complete/?snr=1_7_7_151_150_1
35,https://store.steampowered.com/app/1341810/Dry_Drowning__Artbook/?snr=1_7_7_151_150_1
36,https://store.steampowered.com/app/677120/Heroes_of_Hammerwatch/?snr=1_7_7_151_150_1
37,https://store.steampowered.com/app/807500/Friday_the_13th_Killer_Puzzle__Episode_7_Wasteland/?snr=1_7_7_151_150_1
38,https://store.steampowered.com/bundle/677/The_Screen_7_Steam_Collection/?snr=1_7_7_151_150_1
39,https://store.steampowered.com/app/201790/Orcs_Must_Die_2/?snr=1_7_7_151_150_1
40,https://store.steampowered.com/bundle/10392/Killing_Floor_Franchise_Bundle/?snr=1_7_7_151_150_1
41,https://store.steampowered.com/app/317600/Company_of_Heroes_Eastern_Front/?snr=1_7_7_151_150_1
42,https://store.steampowered.com/bundle/15464/Bastion__Original_Soundtrack/?snr=1_7_7_151_150_1
43,https://store.steampowered.com/bundle/8865/Groove_Coaster__UNDERTALE_DLC_Bundle/?snr=1_7_7_151_150_1
44,https://store.steampowered.com/bundle/232/Valve_Complete_Pack/?snr=1_7_7_151_150_1
45,https://store.steampowered.com/bundle/7052/Orcs_Must_Die_Franchise/?snr=1_7_7_151_150_1
46,https://store.steampowered.com/app/642890/THE_KING_OF_FIGHTERS_DESTINY/?snr=1_7_7_151_150_1
47,https://store.steampowered.com/bundle/21689/GUILTY_GEAR_Franchise_CompletetheSet_Bundle/?snr=1_7_7_151_150_1
48,https://store.steampowered.com/app/361100/Dual_Souls_The_Last_Bearer/?snr=1_7_7_151_150_1
49,https://store.steampowered.com/bundle/6836/FMV_Collection_1__Late_Shift__The_Bunker/?snr=1_7_7_151_150_1
50,https://store.steampowered.com/app/4560/Company_of_Heroes__Legacy_Edition/?snr=1_7_7_151_150_1
51,https://store.steampowered.com/bundle/21689/GUILTY_GEAR_Franchise_CompletetheSet_Bundle/?snr=1_7_7_151_150_1
52,https://store.steampowered.com/app/343430/Hypnosis/?snr=1_7_7_151_150_1
53,https://store.steampowered.com/bundle/9670/Cities_in_Motion_2_Complete_Edition/?snr=1_7_7_151_150_1
54,https://store.steampowered.com/bundle/22974/Marvels_Guardians_of_the_Galaxy_Deluxe_Edition/?snr=1_7_7_151_150_1
55,https://store.steampowered.com/app/260290/Company_of_Heroes_2__Southern_Fronts_Mission_Pack/?snr=1_7_7_151_150_1
56,https://store.steampowered.com/bundle/9686/Magicka_Complete_Edition/?snr=1_7_7_151_150_1
57,https://store.steampowered.com/bundle/9686/Magicka_Complete_Edition/?snr=1_7_7_151_150_1
58,https://store.steampowered.com/app/870920/Natural_Selection_2__Shadow_Onos/?snr=1_7_7_151_150_1
59,https://store.steampowered.com/app/237090/Sanctum_2_The_Last_Stand/?snr=1_7_7_151_150_1
60,https://store.steampowered.com/app/235250/Super_Sanctum_TD/?snr=1_7_7_151_150_1
61,https://store.steampowered.com/bundle/3041/Serious_Sam_3_BFE_Gold_Edition/?snr=1_7_7_151_150_1
