,url,desc,full_desc,requirements,popu_tags,game_name
333,https://store.steampowered.com/app/1289670/EA_Play/?snr=1_7_7_230_150_11,-,,-,-,EA_Play
543,https://store.steampowered.com/bundle/16211/Medieval_Dynasty__Digital_Supporter_Edition/?snr=1_7_7_230_150_19,-,,-,-,Medieval_Dynasty__Digital_Supporter_Edition
670,https://store.steampowered.com/bundle/15610/Fall_Guys_Collectors_Edition/?snr=1_7_7_230_150_24,-,,-,-,Fall_Guys_Collectors_Edition
946,https://store.steampowered.com/sub/17933/?snr=1_7_7_230_150_35,-,,-,-,?snr=1_7_7_230_150_35
994,https://store.steampowered.com/sub/199943/?snr=1_7_7_230_150_37,-,,-,-,?snr=1_7_7_230_150_37
1002,https://store.steampowered.com/bundle/12871/Hades__Original_Soundtrack_Bundle/?snr=1_7_7_230_150_38,-,,-,-,Hades__Original_Soundtrack_Bundle
1156,https://store.steampowered.com/bundle/10457/MORDHAU_Supporter_Bundle/?snr=1_7_7_230_150_44,-,,-,-,MORDHAU_Supporter_Bundle
1201,https://store.steampowered.com/bundle/10584/Dawn_of_Man__Planetbase/?snr=1_7_7_230_150_45,-,,-,-,Dawn_of_Man__Planetbase
1223,https://store.steampowered.com/bundle/233/Left_4_Dead_Bundle/?snr=1_7_7_230_150_46,-,,-,-,Left_4_Dead_Bundle
1406,https://store.steampowered.com/bundle/13931/Planet_Zoo_Premium_Edition/?snr=1_7_7_230_150_54,-,,-,-,Planet_Zoo_Premium_Edition
1545,https://store.steampowered.com/bundle/11732/Wreckfest_Complete_Edition/?snr=1_7_7_230_150_59,-,,-,-,Wreckfest_Complete_Edition
1701,https://store.steampowered.com/bundle/3743/3DMark__PCMark_10__VRMark/?snr=1_7_7_230_150_65,-,,-,-,3DMark__PCMark_10__VRMark
1751,https://store.steampowered.com/bundle/14146/The_Warlord_package/?snr=1_7_7_230_150_67,-,,-,-,The_Warlord_package
1821,https://store.steampowered.com/sub/1679/?snr=1_7_7_230_150_70,-,,-,-,?snr=1_7_7_230_150_70
1879,https://store.steampowered.com/bundle/234/Portal_Bundle/?snr=1_7_7_230_150_73,-,,-,-,Portal_Bundle
1914,https://store.steampowered.com/bundle/2405/The_Binding_of_Isaac_Rebirth_Complete_Bundle/?snr=1_7_7_230_150_74,-,,-,-,The_Binding_of_Isaac_Rebirth_Complete_Bundle
1970,https://store.steampowered.com/bundle/575/Sid_Meiers_Civilization_V_Complete/?snr=1_7_7_230_150_76,-,,-,-,Sid_Meiers_Civilization_V_Complete
2027,https://store.steampowered.com/bundle/983/Supergiant_Collection/?snr=1_7_7_230_150_79,-,,-,-,Supergiant_Collection
2055,https://store.steampowered.com/bundle/6208/Crusader_Kings_II_Royal_Collection/?snr=1_7_7_230_150_80,-,,-,-,Crusader_Kings_II_Royal_Collection
